time,date,hour,precip [mm/day],02GC010 [m3/s],02GC010 (observed) [m3/s]
392,2011-01-28,00:00:00.00,0.90662,3.8566,1.36
393,2011-01-29,00:00:00.00,2.58635,3.80452,1.33
394,2011-01-30,00:00:00.00,6.44259,3.75391,1.3
395,2011-01-31,00:00:00.00,0.242827,3.70469,1.28
396,2011-02-01,00:00:00.00,0.00259172,3.6568,1.25
397,2011-02-02,00:00:00.00,1.55342,3.61019,1.22
398,2011-02-03,00:00:00.00,18.2888,3.56481,1.19
399,2011-02-04,00:00:00.00,0.0847017,3.52059,1.16
400,2011-02-05,00:00:00.00,0.00215596,3.47751,1.13
401,2011-02-06,00:00:00.00,7.26053,3.4355,1.11
402,2011-02-07,00:00:00.00,4.84095,3.39452,1.09
403,2011-02-08,00:00:00.00,0.430553,3.35455,1.11
404,2011-02-09,00:00:00.00,0.11347,3.31553,1.15
405,2011-02-10,00:00:00.00,0.00986008,3.27743,1.19
406,2011-02-11,00:00:00.00,0.00630081,3.24022,1.22
407,2011-02-12,00:00:00.00,0.860694,3.20386,1.29
408,2011-02-13,00:00:00.00,5.10448,3.16832,1.43
409,2011-02-14,00:00:00.00,4.23192,3.13358,1.56
410,2011-02-15,00:00:00.00,0.178571,3.0996,1.59
411,2011-02-16,00:00:00.00,0.0788435,3.06636,1.55
412,2011-02-17,00:00:00.00,0.183526,3.03383,1.62
413,2011-02-18,00:00:00.00,0.323337,3.00199,1.88
414,2011-02-19,00:00:00.00,0.0197549,2.97082,13.2
415,2011-02-20,00:00:00.00,0.136573,2.94029,32
416,2011-02-21,00:00:00.00,0.0495759,2.91038,20.7
417,2011-02-22,00:00:00.00,13.3163,2.88107,13.6
418,2011-02-23,00:00:00.00,0.0756583,2.85235,7.17
419,2011-02-24,00:00:00.00,0.0116028,2.82419,4.91
420,2011-02-25,00:00:00.00,4.2728,2.79658,4.89
421,2011-02-26,00:00:00.00,3.46576,2.7695,4.28
422,2011-02-27,00:00:00.00,2.66679,2.74293,3.45
423,2011-02-28,00:00:00.00,3.76867,2.71687,3.32
424,2011-03-01,00:00:00.00,19.7533,3.11632,8.63
425,2011-03-02,00:00:00.00,0.0063687,3.68749,18.9
426,2011-03-03,00:00:00.00,0.0866902,3.41731,13.5
427,2011-03-04,00:00:00.00,0.069909,2.9725,8.33
428,2011-03-05,00:00:00.00,0.939283,2.94121,5.94
429,2011-03-06,00:00:00.00,31.2781,4.41587,25.5
430,2011-03-07,00:00:00.00,7.80524,6.49125,53.8
431,2011-03-08,00:00:00.00,0.000430508,5.60511,31.8
432,2011-03-09,00:00:00.00,0.010752,4.1015,18.1
433,2011-03-10,00:00:00.00,11.9617,4.22346,13.9
434,2011-03-11,00:00:00.00,13.0775,5.16491,43.9
435,2011-03-12,00:00:00.00,17.4031,6.41237,59.4
436,2011-03-13,00:00:00.00,3.52504,6.39654,39.2
