time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
401,2011-02-06,00:00:00.00,6.31812,0.00623097,0.201
402,2011-02-07,00:00:00.00,0.636247,0.00603129,0.201
403,2011-02-08,00:00:00.00,1.12348,0.00589387,0.192
404,2011-02-09,00:00:00.00,0.340163,0.00578939,0.181
405,2011-02-10,00:00:00.00,0.0161129,0.00571572,0.174
406,2011-02-11,00:00:00.00,0.00554593,0.00567075,0.171
407,2011-02-12,00:00:00.00,0.055545,0.00564304,0.167
408,2011-02-13,00:00:00.00,0.480357,0.00562293,0.163
409,2011-02-14,00:00:00.00,2.4464,0.00558746,0.161
410,2011-02-15,00:00:00.00,0.113622,0.533195,0.162
411,2011-02-16,00:00:00.00,0,1.09995,0.164
412,2011-02-17,00:00:00.00,0.180845,0.916006,0.207
413,2011-02-18,00:00:00.00,0.314261,1.31492,0.518
414,2011-02-19,00:00:00.00,0.0613678,10.3635,13.5
415,2011-02-20,00:00:00.00,3.83484e-308,24.9889,38.8
416,2011-02-21,00:00:00.00,9.35756,27.1165,36
417,2011-02-22,00:00:00.00,12.8988,18.3497,25.1
418,2011-02-23,00:00:00.00,0.000156915,10.4328,16.7
419,2011-02-24,00:00:00.00,0.025216,5.40312,8.59
420,2011-02-25,00:00:00.00,3.01519,2.56925,4.56
421,2011-02-26,00:00:00.00,3.84221,1.17736,2.4
422,2011-02-27,00:00:00.00,4.32591,0.607128,1.31
423,2011-02-28,00:00:00.00,0.721468,0.319262,1.13
424,2011-03-01,00:00:00.00,8.91527,0.637849,4.4
425,2011-03-02,00:00:00.00,0.000707185,0.828126,12.6
426,2011-03-03,00:00:00.00,0.0491885,0.490188,14.8
427,2011-03-04,00:00:00.00,0.0670495,0.290581,7.14
428,2011-03-05,00:00:00.00,2.81444,0.513236,3.48
429,2011-03-06,00:00:00.00,22.7123,12.8568,18.6
430,2011-03-07,00:00:00.00,0.9428,25.6658,43.2
431,2011-03-08,00:00:00.00,0.000496288,21.9307,33.3
432,2011-03-09,00:00:00.00,0.102011,13.8466,22.3
433,2011-03-10,00:00:00.00,13.581,12.8953,15.5
434,2011-03-11,00:00:00.00,12.4092,23.5268,29.9
435,2011-03-12,00:00:00.00,12.4309,37.1218,41.4
436,2011-03-13,00:00:00.00,0.0289422,37.8727,27
437,2011-03-14,00:00:00.00,0.021483,27.7895,18.9
438,2011-03-15,00:00:00.00,0.0140966,17.8528,15.7
